日期,ZSBank,WeFinace,A-inv,US-inv,Credit,Sum
2025-01-01,60000,35000,40000,4000,0,161400.00
2025-02-01,63000,35200,41500,4100,0,166760.00
2025-03-01,66000,35500,40800,4050,800,168230.00
2025-04-01,69000,36000,39000,4150,0,171390.00
2025-05-01,71500,36500,37800,4300,0,174180.00
2025-06-01,74000,37000,39200,4400,1200,178040.00
2025-07-01,76500,37500,40500,4450,0,183870.00
2025-08-01,80000,38000,38800,4600,0,187160.00
2025-09-01,83000,38500,37600,4700,2000,188120.00
2025-10-01,86000,39000,39500,4800,0,196180.00
2025-11-01,90000,39500,41200,4950,0,203370.00
2025-12-01,95000,40000,43000,5100,3000,208660.00
2026-01-01,100000,40500,41800,5250,0,216950.00
2026-02-01,106000,41000,44200,5400,1500,225340.00
2026-03-01,112000,41500,45600,5600,0,236060.00
2026-04-01,118000,42000,47000,5750,0,244950.00
2026-05-01,124000,42500,45800,5900,2500,248740.00
2026-06-01,131000,43000,48200,6050,0,262130.00
